source_key,title,priority,status,paper_doi,dataset_doi,source_url,file_name,file_url,reason,extraction_status
a3_coupling_2024,High-throughput synthesis and optimization of ionizable lipids through A3 coupling for efficient mRNA delivery,A_literature_supplement_extraction,supplement_pdf_docx,10.1186/s12951-024-02919-1,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02919-1,Supplementary Material 1 PDF,,Recent high-throughput synthesis/screening paper; extract supplement tables and reaction metadata.,pending
a3_coupling_2024,High-throughput synthesis and optimization of ionizable lipids through A3 coupling for efficient mRNA delivery,A_literature_supplement_extraction,supplement_pdf_docx,10.1186/s12951-024-02919-1,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02919-1,Supplementary Material 2 DOCX,,Recent high-throughput synthesis/screening paper; extract supplement tables and reaction metadata.,pending
brain_targeted_mrna_lnp_2025,AI-Validated Brain Targeted mRNA Lipid Nanoparticles with Neuronal Tropism,A_literature_supplement_extraction,supplement_pdf_only,10.1021/acsnano.4c15013,10.5281/zenodo.17132384,https://zenodo.org/records/17132384,Published Supporting Information ACS Nano.pdf,,AI-guided targeted mRNA-LNP study with open SI/spectra; extract screened compounds and activity readouts.,pending
brain_targeted_mrna_lnp_2025,AI-Validated Brain Targeted mRNA Lipid Nanoparticles with Neuronal Tropism,A_literature_supplement_extraction,supplement_pdf_only,10.1021/acsnano.4c15013,10.5281/zenodo.17132384,https://zenodo.org/records/17132384,Compound spectra .pdf,,AI-guided targeted mRNA-LNP study with open SI/spectra; extract screened compounds and activity readouts.,pending
kumar_ardekani_2025,Machine-Learning Framework to Predict the Performance of Lipid Nanoparticles for Nucleic Acid Delivery,A_literature_supplement_extraction,supplement_pdf_only,10.1021/acsabm.4c01716,10.1021/acsabm.4c01716.s001,https://acs.figshare.com/articles/journal_contribution/Machine-Learning_Framework_to_Predict_the_Performance_of_Lipid_Nanoparticles_for_Nucleic_Acid_Delivery/28851323,mt4c01716_si_001.pdf,https://ndownloader.figshare.com/files/53938742,Claims 6454 curated formulations across 21 studies; Figshare exposes only a PDF.,pending
lnp_mod_2025,LNP-MOD: machine-learning assisted morphology/object detection for lipid nanoparticles,C_code_only_no_public_training_data,code_model_no_public_dataset,10.1021/acsnano.5c09956,,https://github.com/owenip/LNP_MOD_PUBLIC,,,"Code is public, training/validation data are not openly downloadable; keep as method reference.",pending
lumi_lab_suppfigures,LUMI-lab supplementary figure PDFs,B_literature_supplement_extraction,supplement_pdf_only,,10.5281/zenodo.17771148,https://zenodo.org/records/17771148,SupFig_Top6.pdf,,Companion figure PDFs for validation after structured LUMI CSV import.,pending
lumi_lab_suppfigures,LUMI-lab supplementary figure PDFs,B_literature_supplement_extraction,supplement_pdf_only,,10.5281/zenodo.17771148,https://zenodo.org/records/17771148,SupFig_LUMI6-Cl.pdf,,Companion figure PDFs for validation after structured LUMI CSV import.,pending
mrna_lnp_manufacturing_2025,Manufacturing mRNA-Loaded Lipid Nanoparticles with Precise Size and Morphology Control,B_literature_supplement_extraction,supplement_pdf_only,10.1021/acsnano.5c09800,,https://pubs.acs.org/doi/10.1021/acsnano.5c09800,nn5c09800_si_001.pdf,https://pubs.acs.org/doi/suppl/10.1021/acsnano.5c09800/suppl_file/nn5c09800_si_001.pdf,Process/morphology paper with large ACS SI; extract process/property tables later.,pending
natmat_4cr_2024,Accelerating ionizable lipid discovery for mRNA delivery using ML and combinatorial chemistry,A_literature_supplement_extraction,supplement_pdf_and_embedded_code,10.1038/s41563-024-01867-3,,https://www.nature.com/articles/s41563-024-01867-3,Supplementary Information PDF,https://static-content.springer.com/esm/art%3A10.1038%2Fs41563-024-01867-3/MediaObjects/41563_2024_1867_MOESM1_ESM.pdf,Foundational 4CR high-throughput screen; extract experimental table/code context from paper and SI.,pending
